"stfdem","male","agea","eduyrs","mbtru","hinctnta","ppltrst","clsprty","age15"
7,0,49,17,1,4,8,0,34
6,0,45,18,1,2,4,0,30
3,1,76,10,1,2,8,1,61
7,1,50,9,0,6,8,0,35
1,1,67,10,0,1,6,0,52
1,0,31,11,1,5,2,0,16
5,0,34,13,0,10,3,1,19
7,0,44,11,1,2,9,0,29
7,1,32,10,0,6,3,1,17
4,1,58,9,1,7,7,0,43
7,1,48,16,0,7,7,1,33
2,1,15,11,0,,5,0,0
2,1,53,15,0,,2,0,38
9,0,65,14,0,4,8,1,50
5,1,41,12,1,8,7,0,26
6,0,40,18,0,,7,1,25
7,1,91,9,1,3,8,1,76
0,0,48,11,1,6,0,1,33
10,0,39,21,0,10,8,0,24
1,1,49,12,1,1,8,0,34
8,1,29,18,0,3,5,0,14
4,1,36,21,0,10,8,1,21
5,0,52,17,1,3,6,0,37
5,1,32,18,0,7,7,1,17
5,0,67,10,0,4,8,0,52
4,1,50,11,1,8,3,0,35
3,1,43,16,1,7,3,0,28
3,1,65,9,0,6,2,0,50
5,1,93,11,1,3,3,1,78
,0,29,13,0,2,6,0,14
5,1,64,9,0,4,6,1,49
7,1,65,12,1,5,5,1,50
1,1,65,8,0,2,7,1,50
,0,72,10,0,2,0,0,57
8,1,55,17,0,8,5,1,40
7,1,19,13,0,1,7,0,4
3,1,78,12,1,5,5,0,63
7,1,38,17,0,5,1,1,23
3,0,41,16,1,10,7,0,26
7,1,37,14,1,5,7,1,22
4,0,59,13,0,4,8,0,44
8,1,47,15,0,10,6,1,32
1,1,61,11,1,4,5,0,46
6,0,52,16,1,9,7,0,37
8,1,58,13,0,6,7,1,43
1,0,54,11,1,5,6,0,39
4,1,49,12,0,7,5,0,34
3,1,53,11,1,9,4,1,38
0,0,34,15,0,8,5,0,19
9,1,58,10,1,4,4,1,43
10,1,21,18,1,8,7,1,6
,0,16,11,0,,2,,1
8,0,85,16,1,4,8,1,70
3,0,54,19,1,4,5,1,39
9,0,37,11,0,7,6,1,22
5,0,,13,0,1,4,0,
8,0,69,16,1,6,8,1,54
5,0,30,11,0,,2,0,15
10,1,60,10,1,5,7,1,45
7,1,64,10,1,7,5,1,49
6,1,66,10,1,6,8,1,51
8,0,78,13,0,,5,1,63
4,0,69,16,1,2,0,1,54
0,0,61,12,0,3,3,0,46
5,1,72,10,1,9,5,0,57
3,1,36,19,0,10,5,1,21
6,0,30,18,1,10,3,0,15
4,1,34,17,0,6,7,0,19
9,1,31,18,0,,4,1,16
5,1,63,18,1,9,7,1,48
3,0,26,17,0,3,8,0,11
8,0,68,15,0,10,8,1,53
5,0,75,10,0,,6,0,60
2,1,50,13,1,5,7,1,35
6,0,40,17,1,10,6,1,25
5,0,22,14,1,8,5,0,7
2,1,26,17,0,9,7,0,11
2,0,27,15,0,4,10,0,12
7,0,68,16,1,,5,1,53
6,1,18,11,0,8,7,1,3
7,1,54,12,1,5,5,0,39
5,1,74,17,1,3,3,1,59
4,1,69,10,0,3,5,1,54
8,0,31,16,0,10,6,0,16
5,0,27,12,0,3,3,0,12
5,0,88,10,0,2,6,1,73
10,0,85,13,1,,10,0,70
9,0,77,15,1,9,6,1,62
5,1,28,18,0,,6,0,13
2,1,29,18,0,4,5,0,14
3,1,80,11,1,,2,1,65
9,0,58,19,0,7,6,1,43
8,0,50,15,0,9,3,1,35
,0,47,14,0,3,5,1,32
6,0,16,13,0,,6,0,1
,0,79,9,0,,5,0,64
0,0,55,11,1,1,0,1,40
5,1,55,12,1,,6,1,40
5,0,37,14,1,2,5,0,22
5,0,34,18,1,3,7,1,19
4,0,74,11,0,3,6,1,59
7,1,67,11,1,2,5,0,52
7,0,40,19,1,9,4,0,25
2,0,55,11,0,8,5,0,40
,0,53,12,0,8,5,0,38
3,1,73,15,1,5,5,0,58
4,0,60,10,1,4,5,1,45
5,0,26,21,0,9,6,0,11
7,0,73,16,1,,6,1,58
6,0,83,12,0,4,7,1,68
7,0,86,13,1,3,9,0,71
7,1,34,13,1,9,6,1,19
4,0,79,13,0,2,8,0,64
4,1,35,15,1,4,4,1,20
,1,15,11,0,,1,0,0
2,0,64,17,0,2,6,1,49
7,1,40,16,0,7,8,0,25
8,0,64,12,0,7,7,1,49
5,1,56,16,0,10,7,1,41
3,0,66,9,0,2,6,1,51
7,1,46,20,0,10,7,1,31
3,1,69,15,1,2,5,0,54
8,1,67,11,1,2,2,1,52
4,1,59,10,1,1,4,0,44
8,0,52,18,0,1,3,1,37
8,1,67,10,1,3,7,1,52
2,0,67,12,1,,8,1,52
8,1,51,19,0,10,6,0,36
5,0,47,19,1,10,8,0,32
6,1,68,10,1,2,5,0,53
2,1,65,10,0,1,6,0,50
4,0,30,10,0,1,3,0,15
8,1,66,13,1,3,7,1,51
8,0,84,10,,2,5,1,69
4,1,37,15,1,6,8,0,22
3,0,60,11,1,,8,0,45
8,0,17,13,0,,6,0,2
0,1,60,11,1,4,6,0,45
8,1,70,20,0,5,7,1,55
6,1,73,10,0,1,1,1,58
3,0,72,9,0,1,7,1,57
8,0,67,14,0,9,5,,52
5,1,49,11,1,2,5,1,34
1,0,39,19,0,6,4,1,24
3,1,61,15,1,3,5,1,46
2,0,31,14,0,1,3,0,16
6,0,38,12,1,10,5,0,23
7,0,56,13,0,3,6,1,41
8,1,62,17,1,6,8,0,47
4,1,70,14,1,6,5,1,55
1,1,50,20,1,9,5,0,35
10,1,26,17,0,1,10,0,11
4,0,51,11,0,1,7,1,36
8,0,20,16,0,1,8,1,5
8,0,68,12,1,3,9,1,53
5,1,76,10,0,2,6,1,61
1,0,47,13,0,1,5,0,32
9,0,46,9,0,2,4,1,31
10,1,58,,0,1,8,1,43
5,1,17,12,0,,5,0,2
3,0,53,18,0,10,3,0,38
4,0,35,13,0,3,4,1,20
9,0,84,15,0,6,4,1,69
8,1,93,0,1,2,5,1,78
2,0,43,11,0,3,0,0,28
8,1,41,11,0,2,6,1,26
8,1,32,20,0,1,6,1,17
5,0,93,9,1,2,7,1,78
,0,51,11,0,,7,0,36
0,0,58,11,1,7,1,0,43
8,0,33,16,0,10,7,1,18
,1,90,9,1,,8,1,75
10,1,23,9,0,1,3,0,8
8,0,65,10,0,7,5,1,50
9,0,73,17,1,2,5,1,58
7,1,57,15,1,9,8,0,42
10,1,59,7,1,5,7,0,44
10,0,84,9,0,1,6,1,69
5,0,76,10,1,1,7,1,61
6,0,33,18,0,2,7,1,18
7,1,80,10,0,1,5,0,65
4,0,80,10,0,1,5,1,65
3,0,36,13,0,1,7,0,21
6,0,39,20,1,9,8,0,24
0,0,35,12,0,2,0,0,20
4,1,45,17,1,8,4,0,30
5,0,19,13,0,,7,0,4
6,0,83,9,1,2,8,1,68
,1,70,10,0,4,5,1,55
5,0,84,8,0,,8,0,69
5,1,29,11,0,2,6,0,14
1,0,56,11,1,6,6,1,41
3,0,52,11,1,6,8,0,37
8,1,41,12,1,3,8,0,26
4,1,55,17,1,10,6,1,40
3,0,30,16,1,9,8,1,15
6,1,82,9,1,1,7,0,67
7,1,72,20,0,10,10,1,57
8,1,83,9,1,2,4,0,68
3,1,56,18,1,10,4,0,41
5,1,36,13,0,8,5,1,21
8,0,85,11,0,2,6,1,70
0,1,70,12,1,,1,1,55
8,1,66,2,1,2,5,1,51
8,1,35,11,0,8,6,1,20
5,0,35,11,0,3,5,0,20
7,0,24,13,0,1,7,0,9
5,1,56,16,1,,3,0,41
5,0,50,18,1,9,7,1,35
8,0,16,12,0,,7,0,1
9,0,78,7,1,2,8,1,63
4,1,18,11,0,10,6,0,3
5,1,27,19,0,3,7,0,12
0,0,42,15,0,,5,0,27
8,1,71,13,0,9,6,1,56
4,0,38,17,0,9,5,0,23
5,0,83,9,0,,1,0,68
8,1,81,19,1,9,8,1,66
6,1,64,16,1,4,5,0,49
10,0,67,11,0,2,5,0,52
7,1,58,14,0,,5,0,43
5,1,17,13,0,5,4,1,2
8,0,80,11,0,7,8,1,65
,0,49,12,0,1,3,0,34
3,0,31,18,1,10,4,1,16
5,1,63,20,1,7,0,0,48
3,0,32,15,0,1,9,0,17
8,0,67,11,1,8,2,0,52
8,0,61,11,1,5,7,1,46
2,0,24,17,0,4,0,1,9
1,0,20,11,0,1,1,1,5
6,1,70,,1,3,7,1,55
5,0,28,10,0,1,0,0,13
5,1,48,14,0,2,4,0,33
7,0,55,10,0,5,5,0,40
9,1,56,11,0,5,7,1,41
5,0,40,20,0,8,8,0,25
5,1,74,9,1,2,2,1,59
2,1,52,11,0,1,5,0,37
7,0,66,24,1,2,6,,51
2,1,39,13,1,1,7,1,24
6,0,26,12,1,3,7,1,11
8,1,58,11,1,8,7,0,43
6,1,59,17,1,4,3,1,44
5,0,34,19,1,10,5,0,19
0,0,82,11,0,,5,0,67
3,1,50,14,1,6,3,1,35
4,0,31,18,0,3,3,0,16
,0,28,13,0,4,7,0,13
8,0,66,12,1,7,7,1,51
2,0,57,11,0,7,6,0,42
0,1,52,20,1,5,6,0,37
10,0,26,15,0,,5,0,11
1,1,70,10,1,5,6,1,55
8,0,67,15,0,3,4,0,52
7,0,56,19,1,6,6,1,41
0,0,26,13,0,5,1,0,11
7,0,47,10,0,8,8,0,32
8,1,73,14,0,2,8,0,58
3,0,35,20,0,10,3,0,20
6,1,87,9,1,1,0,0,72
5,0,71,11,1,1,10,1,56
6,1,40,18,0,10,4,1,25
8,1,66,13,1,2,8,0,51
9,1,60,13,1,8,7,1,45
3,1,53,12,0,1,8,1,38
5,0,63,11,1,9,5,1,48
0,1,40,11,0,2,0,0,25
8,0,75,12,0,2,8,1,60
7,1,28,13,0,,5,0,13
5,0,45,16,1,10,8,1,30
7,0,28,15,1,7,6,1,13
6,0,69,18,0,2,8,1,54
8,1,45,17,1,6,7,1,30
3,0,44,12,0,7,5,0,29
1,0,52,11,0,1,5,0,37
,0,28,13,1,3,1,0,13
5,1,26,1,0,4,5,1,11
3,0,54,13,1,5,7,0,39
8,0,61,10,1,4,5,1,46
4,0,72,20,1,2,7,1,57
5,0,,13,1,5,5,1,
5,0,64,11,0,2,0,0,49
8,1,16,9,0,,9,0,1
5,0,46,11,0,6,3,0,31
4,0,25,14,0,5,5,0,10
0,1,49,10,0,10,2,0,34
7,1,36,18,0,10,5,1,21
,0,53,12,0,2,5,0,38
9,0,37,17,0,10,8,1,22
7,1,38,13,1,5,4,0,23
5,1,67,9,0,5,5,1,52
2,1,47,12,0,5,5,1,32
3,1,44,8,0,,7,1,29
,1,16,11,0,3,7,0,1
7,0,70,10,1,3,0,0,55
5,0,45,13,0,9,4,0,30
1,0,50,11,1,1,1,0,35
9,1,70,15,0,4,5,1,55
2,0,29,16,0,6,4,1,14
6,0,62,11,0,5,5,1,47
3,0,66,13,0,3,9,1,51
8,0,54,16,0,,0,0,39
7,0,62,11,0,,6,1,47
7,0,23,14,1,4,7,1,8
3,1,74,10,1,1,5,1,59
10,1,35,18,0,6,8,1,20
8,1,32,15,1,4,6,0,17
5,1,64,11,1,,5,0,49
,0,82,9,1,1,5,1,67
6,1,60,13,1,1,6,0,45
4,0,40,14,0,5,4,1,25
3,0,60,15,1,9,5,0,45
4,1,62,10,1,1,5,1,47
0,0,60,13,0,1,8,1,45
5,1,15,10,0,4,2,0,0
8,1,53,15,1,10,6,1,38
5,1,35,17,1,6,3,1,20
4,1,76,10,0,4,3,1,61
6,1,36,14,0,5,5,1,21
10,0,64,13,0,3,7,1,49
2,0,70,16,1,5,8,1,55
6,1,32,9,0,3,5,0,17
,1,51,15,0,6,5,0,36
6,0,60,17,1,8,5,0,45
5,0,52,12,1,5,7,1,37
0,0,67,10,1,3,6,0,52
,1,60,11,1,2,3,0,45
6,0,32,14,0,1,5,0,17
5,0,33,16,0,6,6,0,18
3,0,74,10,1,,5,1,59
5,0,42,21,1,,9,0,27
7,1,71,12,0,,8,1,56
4,1,50,13,0,3,4,0,35
6,1,19,14,0,3,6,0,4
2,0,66,6,1,7,7,0,51
9,1,71,10,1,2,0,1,56
5,0,81,16,0,5,4,1,66
6,1,46,20,0,1,5,1,31
1,0,79,10,0,1,7,1,64
8,0,72,13,1,,9,1,57
7,0,44,14,0,7,8,0,29
4,1,78,15,0,3,5,1,63
10,0,47,16,0,10,2,1,32
5,0,31,12,0,5,7,0,16
5,1,54,12,1,3,4,1,39
3,1,39,9,0,1,4,1,24
7,1,29,20,1,9,8,0,14
6,0,64,14,0,1,6,0,49
6,0,67,9,0,1,5,0,52
8,1,43,15,0,2,7,0,28
6,1,50,11,0,4,8,1,35
8,1,76,10,0,3,7,1,61
5,0,46,12,0,3,5,0,31
8,0,71,14,0,4,7,1,56
6,1,56,14,1,3,7,0,41
5,0,52,16,0,4,7,0,37
8,0,39,10,0,2,0,0,24
9,0,38,16,0,,7,1,23
6,0,58,10,0,4,2,1,43
2,0,49,13,1,5,3,0,34
5,0,54,12,1,2,5,0,39
,0,,,0,,3,0,
4,0,74,11,1,6,7,1,59
3,0,22,14,0,2,5,1,7
4,1,64,13,0,7,5,1,49
5,1,30,11,0,,8,0,15
7,1,68,10,1,3,6,0,53
1,0,45,14,0,,3,1,30
2,0,42,13,1,8,4,0,27
3,0,51,16,1,4,7,0,36
,0,26,11,0,6,5,1,11
6,1,83,11,1,6,5,1,68
3,0,55,14,0,,3,0,40
5,1,17,11,0,,6,0,2
8,1,58,14,0,3,5,1,43
6,1,63,18,0,8,8,0,48
5,1,41,14,0,2,9,1,26
5,0,60,10,0,9,5,1,45
10,1,55,9,0,2,3,0,40
6,0,70,9,0,,7,1,55
7,0,52,18,1,7,8,0,37
5,0,64,11,0,6,6,0,49
,0,51,16,0,2,0,0,36
5,0,43,17,0,9,8,0,28
6,0,68,10,1,1,6,1,53
2,1,54,11,1,,3,0,39
8,1,45,19,1,9,6,1,30
7,1,75,15,0,8,6,1,60
4,1,86,8,0,,7,1,71
3,0,39,20,1,5,2,0,24
5,0,31,14,1,8,0,0,16
5,0,47,11,0,2,6,0,32
4,1,26,18,0,7,4,0,11
6,0,68,23,1,7,8,1,53
8,1,45,13,0,6,8,0,30
0,1,50,10,0,,0,1,35
3,0,40,16,0,6,8,0,25
7,1,50,18,0,10,4,1,35
2,0,53,17,1,10,7,1,38
1,0,67,11,1,5,6,1,52
0,1,52,14,1,4,5,1,37
8,0,78,11,0,,5,1,63
7,1,63,13,0,9,3,1,48
4,1,56,23,0,10,5,0,41
8,0,64,16,1,5,7,1,49
5,1,78,10,0,1,1,1,63
7,0,40,14,0,2,10,0,25
4,1,45,11,1,5,6,0,30
,0,34,12,0,2,3,0,19
7,0,71,12,1,2,5,1,56
4,1,54,11,0,7,8,1,39
4,1,52,6,0,8,1,1,37
7,1,45,19,0,10,6,0,30
10,1,53,11,1,2,6,1,38
6,0,51,16,0,4,5,1,36
7,1,42,16,0,9,6,0,27
6,0,78,10,1,,4,0,63
8,0,82,11,1,8,5,1,67
2,1,79,16,1,4,8,1,64
2,0,47,,1,,4,1,32
6,1,50,14,1,,5,1,35
4,0,64,10,0,2,6,1,49
3,0,55,11,1,,6,0,40
9,0,39,16,0,10,7,1,24
7,0,46,18,1,4,8,1,31
5,1,71,18,1,2,0,0,56
6,0,61,11,1,6,10,0,46
4,0,74,10,0,2,7,1,59
3,0,47,12,0,,5,1,32
5,0,70,11,1,2,8,0,55
8,0,68,13,1,,5,1,53
5,0,73,10,0,1,4,1,58
7,1,17,12,0,6,4,1,2
6,1,66,11,1,2,5,0,51
8,0,40,16,0,10,8,0,25
3,0,57,14,0,5,4,1,42
6,1,29,22,0,9,7,0,14
3,1,80,11,0,,5,0,65
8,0,45,13,0,6,8,1,30
7,0,47,13,1,2,6,0,32
7,0,32,19,0,4,4,,17
0,0,45,11,1,2,0,1,30
5,0,86,18,1,4,6,1,71
5,1,83,12,1,,8,1,68
8,1,57,24,0,10,8,1,42
2,0,49,11,1,10,7,1,34
4,1,21,14,0,10,7,0,6
8,0,60,15,1,10,5,1,45
,0,62,10,1,,8,0,47
7,1,55,11,0,8,4,1,40
0,0,55,14,0,,0,0,40
8,0,24,17,0,5,5,0,9
6,0,24,11,0,2,3,0,9
2,0,72,10,0,4,10,0,57
9,1,38,12,0,3,5,0,23
3,0,31,11,0,3,5,0,16
5,1,64,16,1,7,8,1,49
6,1,68,13,1,10,5,1,53
4,1,52,27,1,7,5,1,37
8,0,75,11,0,2,8,1,60
7,0,62,13,1,2,3,0,47
1,1,64,10,0,2,10,0,49
6,0,71,10,1,,7,0,56
5,1,32,11,0,1,4,0,17
0,1,67,11,1,,7,0,52
2,1,51,15,1,1,8,1,36
7,1,52,,0,10,5,0,37
7,0,79,10,0,,3,1,64
5,1,85,9,1,2,3,1,70
4,0,68,23,1,7,5,1,53
4,0,68,12,0,,8,0,53
0,0,45,11,1,2,6,0,30
4,1,60,16,1,1,4,0,45
5,1,75,17,0,4,4,1,60
8,1,68,13,1,2,6,1,53
6,1,73,17,1,9,3,1,58
9,0,32,20,0,9,6,0,17
9,1,16,11,0,,7,0,1
8,1,40,19,0,10,5,1,25
8,1,77,10,0,5,3,1,62
0,0,48,10,1,9,3,1,33
0,0,23,14,1,3,3,0,8
1,1,20,16,0,7,6,0,5
0,0,70,10,0,,8,0,55
4,0,84,15,1,,7,0,69
5,0,84,,0,,7,0,69
4,0,63,14,1,5,8,1,48
8,0,63,15,0,5,8,1,48
6,0,92,9,0,,6,1,77
6,0,50,16,0,8,5,1,35
4,0,40,11,0,5,8,1,25
7,0,48,13,1,6,7,0,33
4,1,70,15,0,2,8,0,55
2,0,42,19,0,2,3,1,27
2,1,46,12,0,3,7,0,31
1,0,30,19,1,4,5,1,15
8,0,57,17,0,10,7,1,42
3,0,33,16,0,3,6,0,18
0,1,63,10,0,2,0,0,48
5,0,23,13,1,2,3,0,8
4,0,69,21,1,6,5,1,54
6,1,43,11,1,4,7,0,28
10,0,35,15,0,2,10,0,20
3,1,29,13,0,9,3,1,14
7,0,48,18,0,3,8,0,33
8,1,55,18,0,6,5,1,40
3,0,35,11,0,3,6,0,20
8,0,66,11,0,1,4,1,51
7,0,48,7,0,2,0,0,33
6,0,45,9,0,1,5,1,30
5,0,81,13,0,1,5,0,66
5,1,87,9,1,5,5,0,72
5,1,24,17,0,,8,0,9
10,1,46,16,1,10,6,1,31
4,0,19,14,0,,8,0,4
6,0,87,9,0,1,4,0,72
5,1,68,12,1,5,5,,53
5,0,45,16,1,7,6,1,30
1,1,37,12,0,3,5,0,22
5,1,71,10,1,1,5,1,56
5,0,83,9,1,1,8,1,68
6,0,41,19,0,6,5,0,26
4,0,25,11,0,1,5,0,10
7,1,30,13,0,8,7,1,15
8,0,40,18,0,10,6,0,25
7,0,57,17,0,10,7,0,42
8,1,56,11,1,,2,1,41
2,0,24,16,0,7,8,1,9
4,0,59,19,1,6,5,0,44
7,0,39,21,0,10,7,0,24
4,0,40,15,0,6,0,1,25
1,0,72,12,1,5,1,1,57
5,0,51,11,0,6,4,1,36
8,0,73,11,1,1,7,1,58
3,1,44,11,1,5,7,0,29
4,1,31,18,0,,7,0,16
7,1,45,13,0,4,5,1,30
2,0,42,20,1,,5,1,27
2,1,55,11,1,3,0,0,40
7,1,73,14,1,9,5,1,58
6,1,71,0,1,5,10,1,56
6,0,33,16,1,1,2,1,18
3,0,68,10,1,1,4,1,53
4,1,41,17,1,5,6,0,26
3,0,58,11,1,8,4,1,43
3,0,29,12,1,6,3,0,14
8,0,75,15,1,3,5,0,60
7,0,84,10,0,3,5,1,69
5,0,67,10,1,1,6,0,52
9,1,48,13,0,6,6,1,33
7,1,51,9,0,,8,1,36
6,0,40,17,1,7,7,0,25
7,1,33,14,0,8,7,1,18
7,0,45,12,0,8,5,1,30
7,0,73,10,0,1,7,1,58
2,0,62,21,1,8,7,1,47
4,1,66,10,1,3,3,1,51
7,1,48,14,1,7,8,1,33
7,0,63,13,1,6,5,1,48
7,1,26,14,0,,7,1,11
8,1,36,18,0,10,7,1,21
